ID,Phone,Net Model,Model Median,Model mAP
wXuHjH2yiYZb7YQFEHfJ,Samsung Galaxy M51,MobileNetV3,68287213,22.6
wXuHjH2yiYZb7YQFEHfJ,Samsung Galaxy M51,MobileNetV1,25430833,18.0
wXuHjH2yiYZb7YQFEHfJ,Samsung Galaxy M51,YOLOv5s,95495729,37.2
wXuHjH2yiYZb7YQFEHfJ,Samsung Galaxy M51,MobileNetV2,10898568,22.0
N2RL2yxVxIKFwaYQy1Cm,Xiaomi Redmi 8,MobileNetV3,325784948,22.6
N2RL2yxVxIKFwaYQy1Cm,Xiaomi Redmi 8,MobileNetV1,179388697,18.0
N2RL2yxVxIKFwaYQy1Cm,Xiaomi Redmi 8,YOLOv5s,631398229,37.2
N2RL2yxVxIKFwaYQy1Cm,Xiaomi Redmi 8,MobileNetV2,62890547,22.0
YK9oWdVckMq3UfEEpJsC,OnePlus 6 A6000,MobileNetV3,124366198,22.6
YK9oWdVckMq3UfEEpJsC,OnePlus 6 A6000,MobileNetV1,79485286,18.0
YK9oWdVckMq3UfEEpJsC,OnePlus 6 A6000,YOLOv5s,240623385,37.2
YK9oWdVckMq3UfEEpJsC,OnePlus 6 A6000,MobileNetV2,29667239,22.0
EU08tgE9x99NLoPtoI23,Samsung Galaxy A52,MobileNetV3,65829973,22.6
EU08tgE9x99NLoPtoI23,Samsung Galaxy A52,MobileNetV1,24152995,18.0
EU08tgE9x99NLoPtoI23,Samsung Galaxy A52,YOLOv5s,95319141,37.2
EU08tgE9x99NLoPtoI23,Samsung Galaxy A52,MobileNetV2,10292630,22.0
hSFAQ2Hgn6nUhjO6OJ4J,Samsung Galaxy S10+,MobileNetV3,63924596,22.6
hSFAQ2Hgn6nUhjO6OJ4J,Samsung Galaxy S10+,MobileNetV1,25641192,18.0
hSFAQ2Hgn6nUhjO6OJ4J,Samsung Galaxy S10+,YOLOv5s,90841077,37.2
hSFAQ2Hgn6nUhjO6OJ4J,Samsung Galaxy S10+,MobileNetV2,10412346,22.0
GfEaSdxJUHHUdgeGJ50N,Samsung Galaxy S20,MobileNetV3,69959480,22.6
GfEaSdxJUHHUdgeGJ50N,Samsung Galaxy S20,MobileNetV1,27474846,18.0
GfEaSdxJUHHUdgeGJ50N,Samsung Galaxy S20,YOLOv5s,78688308,37.2
GfEaSdxJUHHUdgeGJ50N,Samsung Galaxy S20,MobileNetV2,10211249,22.0
sGI8HZtgVNCE9SXDnQ3z,OnePlus AC2003,MobileNetV3,59395130,22.6
sGI8HZtgVNCE9SXDnQ3z,OnePlus AC2003,MobileNetV1,22392213,18.0
sGI8HZtgVNCE9SXDnQ3z,OnePlus AC2003,YOLOv5s,81321328,37.2
sGI8HZtgVNCE9SXDnQ3z,OnePlus AC2003,MobileNetV2,9820156,22.0
2x6uEVObivz0p3oTiaZb,Xiaomi Mi 11,MobileNetV3,43934323,22.6
2x6uEVObivz0p3oTiaZb,Xiaomi Mi 11,MobileNetV1,15985104,18.0
2x6uEVObivz0p3oTiaZb,Xiaomi Mi 11,YOLOv5s,56628073,37.2
2x6uEVObivz0p3oTiaZb,Xiaomi Mi 11,MobileNetV2,5866016,22.0
ncudp3CbqBG9wqhkMxEz,Xiaomi MI 8,MobileNetV3,124377239,22.6
ncudp3CbqBG9wqhkMxEz,Xiaomi MI 8,MobileNetV1,79999635,18.0
atGialdeLS7PTG4wAuVD,Xiaomi Redmi Note 8 Pro,MobileNetV3,73938000,22.6
atGialdeLS7PTG4wAuVD,Xiaomi Redmi Note 8 Pro,MobileNetV1,28285423,18.0
atGialdeLS7PTG4wAuVD,Xiaomi Redmi Note 8 Pro,YOLOv5s,103813730,37.2
atGialdeLS7PTG4wAuVD,Xiaomi Redmi Note 8 Pro,MobileNetV2,12268961,22.0
q0XhARraPdeM6heex7EL,LG G6 H870,MobileNetV3,160861431,22.6
q0XhARraPdeM6heex7EL,LG G6 H870,MobileNetV1,116645494,18.0
q0XhARraPdeM6heex7EL,LG G6 H870,YOLOv5s,348101354,37.2
q0XhARraPdeM6heex7EL,LG G6 H870,MobileNetV2,43177109,22.0
nC7JNSPXAuRxwo2zLXHi,Google Pixel 4a (5G),MobileNetV3,57019537,22.6
nC7JNSPXAuRxwo2zLXHi,Google Pixel 4a (5G),MobileNetV1,22085575,18.0
nC7JNSPXAuRxwo2zLXHi,Google Pixel 4a (5G),YOLOv5s,80556284,37.2
nC7JNSPXAuRxwo2zLXHi,Google Pixel 4a (5G),MobileNetV2,9555391,22.0
RQmH2789W5SFrnkxRkbh,Xiaomi MI 9,MobileNetV3,57574947,22.6
RQmH2789W5SFrnkxRkbh,Xiaomi MI 9,MobileNetV1,22800702,18.0
RQmH2789W5SFrnkxRkbh,Xiaomi MI 9,YOLOv5s,79125703,37.2
RQmH2789W5SFrnkxRkbh,Xiaomi MI 9,MobileNetV2,9894141,22.0
KaCAnoMymaAnDTo7SuMm,Xiaomi MI 8,YOLOv5s,244030000,37.2
KaCAnoMymaAnDTo7SuMm,Xiaomi MI 8,MobileNetV2,29600364,22.0
SBAKWNUgVO2i5RZUl8DP,Huawei P20 lite,MobileNetV3,292271614,22.6
SBAKWNUgVO2i5RZUl8DP,Huawei P20 lite,MobileNetV1,149319531,18.0
SBAKWNUgVO2i5RZUl8DP,Huawei P20 lite,YOLOv5s,550050000,37.2
SBAKWNUgVO2i5RZUl8DP,Huawei P20 lite,MobileNetV2,52562500,22.0
DErrBIeyDCpPio1ojNiH,Realme 6 RMX2001,MobileNetV3,71405538,22.6
DErrBIeyDCpPio1ojNiH,Realme 6 RMX2001,MobileNetV1,27261577,18.0
DErrBIeyDCpPio1ojNiH,Realme 6 RMX2001,YOLOv5s,99661576,37.2
DErrBIeyDCpPio1ojNiH,Realme 6 RMX2001,MobileNetV2,11751923,22.0
SnvtClosmePOSuryR6dE,POCO X3 Pro,MobileNetV3,46599843,22.6
SnvtClosmePOSuryR6dE,POCO X3 Pro,MobileNetV1,18215182,18.0
SnvtClosmePOSuryR6dE,POCO X3 Pro,YOLOv5s,63431510,37.2
SnvtClosmePOSuryR6dE,POCO X3 Pro,MobileNetV2,7716770,22.0
2J2nIeyELByeTpLQqamL,Samsung Galaxy A50,MobileNetV3,207892577,22.6
2J2nIeyELByeTpLQqamL,Samsung Galaxy A50,MobileNetV1,118335518,18.0
2J2nIeyELByeTpLQqamL,Samsung Galaxy A50,YOLOv5s,385206096,37.2
2J2nIeyELByeTpLQqamL,Samsung Galaxy A50,MobileNetV2,43290769,22.0
pkVaprAme7KYxP47bwUL,Xiaomi Mi 10T Lite,MobileNetV3,60345729,22.6
pkVaprAme7KYxP47bwUL,Xiaomi Mi 10T Lite,MobileNetV1,22929401,18.0
pkVaprAme7KYxP47bwUL,Xiaomi Mi 10T Lite,YOLOv5s,84150573,37.2
pkVaprAme7KYxP47bwUL,Xiaomi Mi 10T Lite,MobileNetV2,9863906,22.0
Zb4Ys8F3CykMKnS1ujBP,Samsung Galaxy M21,MobileNetV3,153798538,22.6
Zb4Ys8F3CykMKnS1ujBP,Samsung Galaxy M21,MobileNetV1,85845826,18.0
Zb4Ys8F3CykMKnS1ujBP,Samsung Galaxy M21,YOLOv5s,281822730,37.2
Zb4Ys8F3CykMKnS1ujBP,Samsung Galaxy M21,MobileNetV2,31451038,22.0
8iqoaKjZKpEJJticFK7o,Samsung Galaxy S21,MobileNetV3,42052173,22.6
8iqoaKjZKpEJJticFK7o,Samsung Galaxy S21,MobileNetV1,15072461,18.0
8iqoaKjZKpEJJticFK7o,Samsung Galaxy S21,YOLOv5s,56480634,37.2
8iqoaKjZKpEJJticFK7o,Samsung Galaxy S21,MobileNetV2,5584346,22.0
